expiry,option_type,strike,bid,ask,last,mid,volume,open_interest,spot,snapshot_utc,T,moneyness,iv
2026-07-02,put,680.0,0.8,0.81,0.82,0.805,31.0,1991.0,757.72998046875,2026-06-04T18:31:23+00:00,0.07688092973110096,0.8974173089724332,0.23211483679705394
2026-07-02,put,685.0,0.9,0.92,0.9,0.91,75.0,1157.0,757.72998046875,2026-06-04T18:31:23+00:00,0.07688092973110096,0.904015965656054,0.2248628253780515
2026-07-02,put,690.0,1.02,1.04,1.04,1.03,81.0,776.0,757.72998046875,2026-06-04T18:31:23+00:00,0.07688092973110096,0.9106146223396748,0.2175067520397219
2026-07-02,put,695.0,1.17,1.18,1.18,1.1749999999999998,15.0,1462.0,757.72998046875,2026-06-04T18:31:23+00:00,0.07688092973110096,0.9172132790232957,0.21033599034909212
2026-07-02,put,700.0,1.34,1.36,1.38,1.35,552.0,1487.0,757.72998046875,2026-06-04T18:31:23+00:00,0.07688092973110096,0.9238119357069166,0.20331568299545683
2026-07-02,put,701.0,1.38,1.4,1.42,1.39,20.0,162.0,757.72998046875,2026-06-04T18:31:23+00:00,0.07688092973110096,0.9251316670436407,0.20195742191204602
2026-07-02,put,702.0,1.43,1.45,1.46,1.44,23.0,398.0,757.72998046875,2026-06-04T18:31:23+00:00,0.07688092973110096,0.9264513983803648,0.20088990596860584
2026-07-02,put,703.0,1.48,1.49,1.69,1.485,61.0,704.0,757.72998046875,2026-06-04T18:31:23+00:00,0.07688092973110096,0.9277711297170891,0.19959526088264584
2026-07-02,put,704.0,1.51,1.53,2.0,1.52,14.0,226.0,757.72998046875,2026-06-04T18:31:23+00:00,0.07688092973110096,0.9290908610538132,0.197925808339865
2026-07-02,put,705.0,1.57,1.58,1.59,1.5750000000000002,380.0,939.0,757.72998046875,2026-06-04T18:31:23+00:00,0.07688092973110096,0.9304105923905374,0.19685107797809273
2026-07-02,put,706.0,1.61,1.62,1.83,1.6150000000000002,11.0,247.0,757.72998046875,2026-06-04T18:31:23+00:00,0.07688092973110096,0.9317303237272615,0.19525049348851048
2026-07-02,put,707.0,1.67,1.69,1.68,1.68,8.0,790.0,757.72998046875,2026-06-04T18:31:23+00:00,0.07688092973110096,0.9330500550639858,0.19436084094814118
2026-07-02,put,708.0,1.71,1.73,1.91,1.72,61.0,158.0,757.72998046875,2026-06-04T18:31:23+00:00,0.07688092973110096,0.9343697864007099,0.19266324254834113
2026-07-02,put,709.0,1.78,1.8,2.15,1.79,2.0,268.0,757.72998046875,2026-06-04T18:31:23+00:00,0.07688092973110096,0.935689517737434,0.1917873239517485
2026-07-02,put,710.0,1.83,1.85,1.89,1.84,168.0,1239.0,757.72998046875,2026-06-04T18:31:23+00:00,0.07688092973110096,0.9370092490741582,0.19027518071730254
2026-07-02,put,711.0,1.89,1.91,1.95,1.9,3.0,273.0,757.72998046875,2026-06-04T18:31:23+00:00,0.07688092973110096,0.9383289804108824,0.18898768520210377
2026-07-02,put,712.0,1.95,1.98,1.98,1.965,3.0,613.0,757.72998046875,2026-06-04T18:31:23+00:00,0.07688092973110096,0.9396487117476066,0.18777381062256934
2026-07-02,put,713.0,2.01,2.03,2.16,2.02,1.0,327.0,757.72998046875,2026-06-04T18:31:23+00:00,0.07688092973110096,0.9409684430843307,0.18623510787282804
2026-07-02,put,714.0,2.09,2.11,2.14,2.1,22.0,565.0,757.72998046875,2026-06-04T18:31:23+00:00,0.07688092973110096,0.9422881744210548,0.18528260154689652
2026-07-02,put,715.0,2.15,2.18,2.27,2.165,1805.0,1252.0,757.72998046875,2026-06-04T18:31:23+00:00,0.07688092973110096,0.9436079057577791,0.1838789225547555
2026-07-02,put,716.0,2.22,2.25,2.57,2.2350000000000003,8.0,597.0,757.72998046875,2026-06-04T18:31:23+00:00,0.07688092973110096,0.9449276370945032,0.18253788132306484
2026-07-02,put,717.0,2.29,2.31,2.36,2.3,9.0,500.0,757.72998046875,2026-06-04T18:31:23+00:00,0.07688092973110096,0.9462473684312274,0.1810152631384927
2026-07-02,put,718.0,2.39,2.41,2.43,2.4000000000000004,41.0,1198.0,757.72998046875,2026-06-04T18:31:23+00:00,0.07688092973110096,0.9475670997679515,0.18024875929711326
2026-07-02,put,719.0,2.46,2.49,2.59,2.475,24.0,207.0,757.72998046875,2026-06-04T18:31:23+00:00,0.07688092973110096,0.9488868311046758,0.17882489030350862
2026-07-02,put,720.0,2.55,2.57,2.56,2.56,191.0,4439.0,757.72998046875,2026-06-04T18:31:23+00:00,0.07688092973110096,0.9502065624413999,0.17755955894886175
